pattern,replacement,comment
-,-,
",",",",
:,:,
\.,\.,
\?,\?,
…,…,
˙,,This marks the stress; now we just delete it
’,',These two apparently should both be '
ˈ,',These two apparently should both be '
°,,Does this mark labialisation of the earlier vowel? now I take it away as it is always next to ö
ä,ä,LATIN SMALL LETTER A WITH DIAERESIS
ӓ,ä,CYRILLIC SMALL LETTER A WITH DIAERESIS
е,э,This should not be present in the transcriptions I think
ъ,ы,What is this?
ь,ь,What is this?	
(н|т|д|л|с|з)'а,\1я
(н|т|д|л|с|з)'и,\1и
(н|т|д|л|с|з)'э,\1е
(н|т|д|л|с|з)'о,\1ё
(н|т|д|л|с|з)'у,\1ю
(н|т|д|л|с|з)'ъ,\1ьы
(н|т|д|л|с|з)'ӧ°,\1ьӧ
(н|т|д|л|с|з)и,\1ӥ
(н|т|д|л|с|з)э,\1э
(б|в|г|ж|ӝ|ӟ|к|м|п|р|ф|х|ц|ч|ӵ|ш|щ)э,\1е
(б|в|г|ж|ӝ|ӟ|к|м|п|р|ф|х|ц|ч|ӵ|ш|щ)йа,\1ъя
(б|в|г|ж|ӝ|ӟ|к|м|п|р|ф|х|ц|ч|ӵ|ш|щ)йи,\1йи
(б|в|г|ж|ӝ|ӟ|к|м|п|р|ф|х|ц|ч|ӵ|ш|щ)йо,\1ъё
(б|в|г|ж|ӝ|ӟ|к|м|п|р|ф|х|ц|ч|ӵ|ш|щ)йу,\1ъю
н',нь,
т',ть,
д',дь,
л',ль,
с',сь,
з',зь,
((\W)|(а|и|э|е|о|у|ъ|ы|ӧ|ь|ä))(йа),\1я
((\W)|(а|и|э|е|о|у|ъ|ы|ӧ|ь|ä))(йи),\1и
((\W)|(а|и|э|е|о|у|ъ|ы|ӧ|ь|ä))(йэ),\1е
((\W)|(а|и|э|е|о|у|ъ|ы|ӧ|ь|ä))(йо),\1ё
((\W)|(а|и|э|е|о|у|ъ|ы|ӧ|ь|ä))(йу),\1ю
((\W)|(а|и|э|е|о|у|ъ|ы|ӧ|ь|ä))(йъ),\1йы
((\W)|(а|и|э|е|о|у|ъ|ы|ӧ|ь|ä))(йы),\1йы
((\W)|(а|и|э|е|о|у|ъ|ы|ӧ|ь|ä))(йӧ°),\1йӧ
((\W)|(а|и|э|е|о|у|ъ|ы|ӧ|ь|ä))(йӧ°),\1йӧ
\n,<br/>,
